"n" "lower" "upper"
293 -1.75 2.113
294 -1.75 2.113
295 -1.749 2.113
296 -1.749 2.113
297 -1.749 2.113
298 -1.749 2.113
299 -1.749 2.113
300 -1.749 2.114
301 -1.749 2.114
302 -1.749 2.114
303 -1.749 2.114
304 -1.749 2.114
305 -1.748 2.114
306 -1.748 2.114
307 -1.748 2.114
308 -1.748 2.114
309 -1.748 2.115
310 -1.748 2.115
311 -1.748 2.115
312 -1.748 2.115
313 -1.748 2.115
314 -1.748 2.115
315 -1.748 2.115
316 -1.747 2.115
317 -1.747 2.115
318 -1.747 2.115
319 -1.747 2.116
320 -1.747 2.116
321 -1.747 2.116
322 -1.747 2.116
323 -1.747 2.116
324 -1.747 2.116
325 -1.747 2.116
326 -1.747 2.116
327 -1.746 2.116
328 -1.746 2.117
329 -1.746 2.117
330 -1.746 2.117
331 -1.746 2.117
332 -1.746 2.117
333 -1.746 2.117
334 -1.746 2.117
335 -1.746 2.117
336 -1.746 2.117
337 -1.746 2.117
338 -1.746 2.118
339 -1.745 2.118
340 -1.745 2.118
341 -1.745 2.118
342 -1.745 2.118
343 -1.745 2.118
344 -1.745 2.118
345 -1.745 2.118
346 -1.745 2.118
347 -1.745 2.118
348 -1.745 2.118
349 -1.745 2.119
350 -1.744 2.119
351 -1.744 2.119
352 -1.744 2.119
353 -1.744 2.119
354 -1.744 2.119
355 -1.744 2.119
356 -1.744 2.119
357 -1.744 2.119
358 -1.744 2.119
359 -1.744 2.119
360 -1.744 2.12
361 -1.744 2.12
362 -1.744 2.12
363 -1.743 2.12
364 -1.743 2.12
365 -1.743 2.12
366 -1.743 2.12
367 -1.743 2.12
368 -1.743 2.12
369 -1.743 2.12
370 -1.743 2.12
371 -1.743 2.121
372 -1.743 2.121
373 -1.743 2.121
374 -1.743 2.121
375 -1.742 2.121
376 -1.742 2.121
377 -1.742 2.121
378 -1.742 2.121
379 -1.742 2.121
380 -1.742 2.121
381 -1.742 2.121
382 -1.742 2.121
383 -1.742 2.122
384 -1.742 2.122
385 -1.742 2.122
386 -1.742 2.122
387 -1.742 2.122
388 -1.741 2.122
389 -1.741 2.122
390 -1.741 2.122
391 -1.741 2.122
392 -1.741 2.122
393 -1.741 2.122
394 -1.741 2.122
395 -1.741 2.123
396 -1.741 2.123
397 -1.741 2.123
398 -1.741 2.123
399 -1.741 2.123
400 -1.741 2.123
401 -1.741 2.123
402 -1.74 2.123
403 -1.74 2.123
404 -1.74 2.123
405 -1.74 2.123
406 -1.74 2.123
407 -1.74 2.123
408 -1.74 2.124
409 -1.74 2.124
410 -1.74 2.124
411 -1.74 2.124
412 -1.74 2.124
413 -1.74 2.124
414 -1.74 2.124
415 -1.74 2.124
416 -1.739 2.124
417 -1.739 2.124
418 -1.739 2.124
419 -1.739 2.124
420 -1.739 2.124
421 -1.739 2.125
422 -1.739 2.125
423 -1.739 2.125
424 -1.739 2.125
425 -1.739 2.125
426 -1.739 2.125
427 -1.739 2.125
428 -1.739 2.125
429 -1.739 2.125
430 -1.739 2.125
431 -1.738 2.125
432 -1.738 2.125
433 -1.738 2.125
434 -1.738 2.125
435 -1.738 2.126
436 -1.738 2.126
437 -1.738 2.126
438 -1.738 2.126
439 -1.738 2.126
440 -1.738 2.126
441 -1.738 2.126
442 -1.738 2.126
443 -1.738 2.126
444 -1.738 2.126
445 -1.738 2.126
446 -1.737 2.126
447 -1.737 2.126
448 -1.737 2.126
449 -1.737 2.127
450 -1.737 2.127
451 -1.737 2.127
452 -1.737 2.127
453 -1.737 2.127
454 -1.737 2.127
455 -1.737 2.127
456 -1.737 2.127
457 -1.737 2.127
458 -1.737 2.127
459 -1.737 2.127
460 -1.737 2.127
461 -1.736 2.127
462 -1.736 2.127
463 -1.736 2.128
